Raw Item ID,Inner Item ID
1,0
110,1
260,2
364,3
527,4
588,5
594,6
616,7
1196,8
1197,9
1207,10
1210,11
1214,12
1270,13
2096,14
2571,15
2959,16
3300,17
3483,18
3555,19
3615,20
3624,21
3671,22
3751,23
3793,24
3916,25
4016,26
4022,27
4232,28
4299,29
4306,30
4343,31
4366,32
4386,33
4638,34
4700,35
4734,36
4816,37
4886,38
4887,39
4890,40
4896,41
4990,42
4993,43
5110,44
5218,45
5254,46
5267,47
5299,48
5313,49
5349,50
5378,51
5389,52
5444,53
5463,54
5504,55
5574,56
5621,57
5669,58
5679,59
5785,60
5804,61
5816,62
5903,63
5952,64
6156,65
6218,66
6297,67
6333,68
6365,69
6377,70
6385,71
6539,72
6565,73
6566,74
6753,75
6754,76
6863,77
6880,78
6889,79
6934,80
6936,81
7153,82
7293,83
7317,84
7324,85
7373,86
8360,87
8361,88
8368,89
8371,90
8376,91
8464,92
8528,93
8533,94
8622,95
8636,96
8641,97
8807,98
8808,99
8810,100
8907,101
8917,102
8937,103
8957,104
8961,105
8972,106
8985,107
30707,108
30816,109
32031,110
33004,111
33493,112
33615,113
33646,114
33679,115
33794,116
34072,117
34150,118
34332,119
36519,120
37386,121
38038,122
39183,123
39446,124
40339,125
40815,126
41566,127
41569,128
42738,129
44022,130
44191,131
45431,132
45499,133
45517,134
45722,135
46578,136
46970,137
46972,138
47200,139
47610,140
48322,141
48385,142
48394,143
49274,144
49649,145
50798,146
50872,147
51077,148
51662,149
52245,150
52287,151
52722,152
52973,153
53121,154
53125,155
53464,156
53894,157
53996,158
54001,159
54259,160
54272,161
54503,162
54997,163
55995,164
56171,165
56367,166
56587,167
56775,168
56949,169
57528,170
57640,171
58025,172
58559,173
58803,174
59315,175
59369,176
59501,177
59784,178
60069,179
60074,180
60684,181
60756,182
61024,183
61132,184
61160,185
63082,186
63992,187
65682,188
68205,189
68319,190
68954,191
69122,192
69406,193
69526,194
69784,195
69844,196
70286,197
71530,198
71535,199
72378,200
72998,201
73017,202
73321,203
74789,204
76093,205
76175,206
76251,207
77561,208
78105,209
78209,210
78469,211
79091,212
79695,213
79702,214
81562,215
81564,216
81834,217
81847,218
82459,219
82461,220
83613,221
84944,222
85510,223
86332,224
86880,225
86911,226
87222,227
87232,228
87430,229
88125,230
88140,231
88744,232
89745,233
91500,234
91529,235
95167,236
98809,237
102125,238
102445,239
106487,240
106489,241
106696,242
112852,243
118696,244
125916,245
47,246
293,247
1265,248
1291,249
2005,250
2337,251
2761,252
3717,253
3753,254
3948,255
4005,256
4865,257
4973,258
4992,259
5265,260
5400,261
5459,262
5971,263
6157,264
6541,265
6617,266
6620,267
7163,268
7439,269
7451,270
7454,271
7458,272
8873,273
27831,274
30825,275
32596,276
34338,277
35836,278
37380,279
42723,280
45447,281
46723,282
53129,283
58295,284
58998,285
62849,286
67087,287
87869,288
93510,289
101525,290
109374,291
110553,292
112623,293
356,294
367,295
586,296
597,297
1261,298
1721,299
2671,300
4995,301
5066,302
6776,303
6942,304
73881,305
93840,306
111921,307
1517,308
2011,309
2541,310
2683,311
8981,312
38061,313
89864,314
19,315
32,316
34,317
50,318
153,319
296,320
318,321
353,322
508,323
551,324
593,325
648,326
733,327
736,328
780,329
788,330
904,331
1089,332
1183,333
1221,334
1356,335
1407,336
1527,337
1580,338
1682,339
1923,340
2028,341
2324,342
2329,343
2628,344
2706,345
2762,346
2858,347
2997,348
3477,349
7361,350
48774,351
55820,352
56782,353
64839,354
64957,355
65130,356
68157,357
74458,358
79132,359
80463,360
81591,361
81819,362
99114,363
105197,364
106100,365
106782,366
106920,367
107230,368
109487,369
112183,370
112290,371
112552,372
112556,373
116797,374
117176,375
991,376
3512,377
42728,378
91653,379
6,380
16,381
111,382
161,383
253,384
266,385
288,386
377,387
457,388
475,389
589,390
590,391
608,392
858,393
1027,394
1036,395
1090,396
1193,397
1198,398
1200,399
1201,400
1208,401
1213,402
1240,403
1258,404
1263,405
1266,406
1275,407
1304,408
1387,409
1408,410
1466,411
1573,412
1584,413
1610,414
1617,415
1732,416
1954,417
1961,418
2000,419
2001,420
2006,421
2115,422
2194,423
2289,424
2467,425
2710,426
2716,427
3104,428
3147,429
3498,430
3527,431
3578,432
3735,433
3740,434
4085,435
4239,436
4262,437
5026,438
6787,439
6870,440
6874,441
7027,442
7143,443
7371,444
7502,445
32587,446
44665,447
48780,448
49272,449
54286,450
59615,451
88129,452
91630,453
91658,454
105504,455
128488,456
172,457
316,458
355,459
541,460
592,461
741,462
1028,463
1073,464
1080,465
1097,466
1127,467
1136,468
1203,469
1225,470
1259,471
1282,472
1342,473
1377,474
1394,475
1566,476
1748,477
1967,478
1968,479
1997,480
2010,481
2012,482
2019,483
2143,484
2161,485
2167,486
2273,487
2288,488
2291,489
2366,490
2403,491
2407,492
2451,493
2528,494
2529,495
2530,496
2617,497
2720,498
2804,499
2867,500
2916,501
2951,502
3000,503
3114,504
3177,505
3213,506
3504,507
3564,508
3593,509
3646,510
3681,511
3752,512
3798,513
3826,514
3863,515
3959,516
3972,517
3988,518
3991,519
3994,520
4023,521
4027,522
4158,523
4226,524
4238,525
4247,526
4270,527
4308,528
4310,529
4340,530
4367,531
4387,532
4643,533
4719,534
4720,535
4744,536
4776,537
4874,538
4876,539
4878,540
4899,541
4963,542
4975,543
5065,544
5069,545
5072,546
5128,547
5171,548
5266,549
5291,550
5323,551
5363,552
5401,553
5418,554
5419,555
5445,556
5449,557
5464,558
5480,559
5502,560
5544,561
5572,562
5618,563
5630,564
5667,565
5784,566
5833,567
5879,568
5882,569
5956,570
5989,571
6013,572
6250,573
6264,574
6287,575
6294,576
6373,577
6378,578
6482,579
6502,580
6534,581
6537,582
6564,583
6624,584
6686,585
6708,586
6764,587
6773,588
6820,589
6951,590
6952,591
7090,592
7099,593
7147,594
7154,595
7160,596
7254,597
7285,598
7325,599
7347,600
7369,601
7376,602
7444,603
8372,604
8531,605
8644,606
8665,607
8666,608
8874,609
8914,610
8947,611
8966,612
8974,613
8984,614
26776,615
27032,616
27064,617
27311,618
27660,619
27773,620
27801,621
27839,622
27904,623
30793,624
30812,625
30894,626
31221,627
31685,628
31696,629
33171,630
33437,631
34319,632
34323,633
34405,634
34542,635
35957,636
36529,637
36708,638
37727,639
37857,640
40732,641
42721,642
44788,643
45662,644
45672,645
45720,646
45728,647
45730,648
46948,649
46965,650
47810,651
47997,652
49396,653
51255,654
51540,655
51935,656
52241,657
52458,658
52462,659
53000,660
53318,661
54190,662
54785,663
54881,664
55908,665
55999,666
56003,667
56174,668
56339,669
56757,670
57368,671
58103,672
58347,673
59037,674
59103,675
59387,676
60072,677
60979,678
62155,679
62336,680
62376,681
62434,682
63062,683
63072,684
63113,685
63131,686
63859,687
64497,688
65261,689
66097,690
66934,691
68135,692
69436,693
69640,694
69757,695
71057,696
71156,697
71254,698
71264,699
71379,700
71464,701
71468,702
71520,703
72167,704
72226,705
72737,706
73266,707
73268,708
74275,709
74685,710
75985,711
77540,712
78499,713
78836,714
78893,715
79008,716
79134,717
79139,718
79224,719
79274,720
80615,721
80917,722
81845,723
82169,724
83134,725
85412,726
85414,727
85788,728
86190,729
87306,730
87520,731
88356,732
90746,733
90866,734
90945,735
91542,736
92420,737
94466,738
95510,739
96417,740
96610,741
96737,742
97913,743
97921,744
99437,745
99912,746
103228,747
103335,748
103341,749
103688,750
105213,751
105869,752
106642,753
106916,754
107141,755
107537,756
108932,757
108983,758
111360,759
111362,760
111659,761
111759,762
112138,763
112175,764
112370,765
115149,766
115569,767
115617,768
54372,769
89118,770
108190,771
2672,772
3030,773
6301,774
6975,775
27592,776
38159,777
71106,778
78088,779
78637,780
87194,781
88812,782
89490,783
92259,784
94478,785
94677,786
94777,787
94780,788
96829,789
102903,790
104374,791
106002,792
108715,793
110730,794
111113,795
111743,796
113741,797
114007,798
117590,799
778,800
1704,801
2542,802
3949,803
4011,804
27611,805
48516,806
49530,807
64716,808
69481,809
88810,810
89492,811
96079,812
97304,813
97923,814
98961,815
104841,816
104879,817
2186,818
745,819
1247,820
2174,821
3052,822
96821,823
165,824
380,825
480,826
1909,827
3703,828
8132,829
8798,830
25750,831
68358,832
81229,833
110102,834
931,835
1645,836
3827,837
49280,838
49957,839
55955,840
58078,841
61465,842
70599,843
71838,844
92507,845
92938,846
108548,847
750,848
1206,849
1212,850
1217,851
1233,852
2502,853
6016,854
89759,855
17,856
48,857
596,858
1280,859
1380,860
1907,861
2048,862
2089,863
108825,864
118900,865
118997,866
231,867
1215,868
1924,869
3306,870
4105,871
5147,872
6818,873
7089,874
7210,875
7761,876
31364,877
32179,878
72104,879
73183,880
79251,881
83184,882
93982,883
100507,884
102991,885
104913,886
105844,887
112804,888
114180,889
116128,890
116977,891
117123,892
119141,893
5,894
104,895
105,896
168,897
270,898
1485,899
1569,900
1608,901
1801,902
2335,903
2424,904
2745,905
3071,906
8579,907
30749,908
33815,909
40629,910
51471,911
72741,912
82143,913
83369,914
89470,915
97938,916
98154,917
99149,918
7981,919
57532,920
57669,921
58156,922
59258,923
60040,924
60161,925
60514,926
61248,927
61323,928
61350,929
62081,930
62113,931
62293,932
62344,933
62437,934
62999,935
63436,936
63479,937
63876,938
64285,939
64614,940
64622,941
64983,942
65126,943
65230,944
65514,945
65802,946
66203,947
66297,948
66371,949
66665,950
67193,951
67267,952
67295,953
67408,954
67734,955
67788,956
69604,957
70293,958
71462,959
71579,960
72407,961
72733,962
73015,963
74450,964
76293,965
77800,966
78772,967
79592,968
80363,969
80489,970
80831,971
80906,972
80969,973
81932,974
82202,975
84374,976
85020,977
86781,978
86833,979
86882,980
87192,981
89774,982
90439,983
91094,984
91104,985
94070,986
128594,987
6412,988
26265,989
26285,990
40467,991
99917,992
109848,993
215,994
1405,995
107771,996
115210,997
116823,998
121117,999
121135,1000
2,1001
13,1002
39,1003
126,1004
216,1005
344,1006
374,1007
419,1008
587,1009
673,1010
837,1011
903,1012
1033,1013
1059,1014
1172,1015
1219,1016
1367,1017
1499,1018
1777,1019
1884,1020
1892,1021
1911,1022
1994,1023
2052,1024
2296,1025
2316,1026
2355,1027
2384,1028
2555,1029
2572,1030
2581,1031
2687,1032
2692,1033
2694,1034
2840,1035
2950,1036
2987,1037
3156,1038
3157,1039
3535,1040
3688,1041
3968,1042
3979,1043
4015,1044
4025,1045
4447,1046
5014,1047
5096,1048
5970,1049
6006,1050
6155,1051
6242,1052
6558,1053
6593,1054
6615,1055
7360,1056
7387,1057
8529,1058
8950,1059
26999,1060
31427,1061
33660,1062
34162,1063
43836,1064
43930,1065
44840,1066
45501,1067
45666,1068
45726,1069
46062,1070
46865,1071
47099,1072
48414,1073
49286,1074
50601,1075
50800,1076
50954,1077
51084,1078
53974,1079
53993,1080
54004,1081
54276,1082
54648,1083
55247,1084
55282,1085
55768,1086
56176,1087
57520,1088
57538,1089
58047,1090
58315,1091
58655,1092
59421,1093
59725,1094
59727,1095
60937,1096
61123,1097
61262,1098
62912,1099
63393,1100
64034,1101
64969,1102
65585,1103
65813,1104
66304,1105
66798,1106
68793,1107
68932,1108
68952,1109
69069,1110
69606,1111
69934,1112
70159,1113
70183,1114
70334,1115
70643,1116
70663,1117
71205,1118
71500,1119
72641,1120
72731,1121
73290,1122
73983,1123
74154,1124
74553,1125
74698,1126
75438,1127
75805,1128
